ID	ItemID	ItemCount	IsBind	Count	Weight
唯一ID	道具ID	道具数量	是否绑定（1：绑定 0：非绑定）	可被抽取次数	权重
1	9959	200	0	1	700
2	9959	200	1	1	700
3	9959	200	0	1	1250
4	9959	50	0	4	1000
5	9959	50	0	4	500
6	9959	50	1	1	500
7	9959	50	1	4	1000
8	9959	10	1	20	1000
9	9959	10	1	20	1000
10	9959	10	1	10	1000
11	9959	10	1	20	1000
12	9959	10	1	20	1000
13	9959	3	1	100	1000
14	9959	3	1	100	1000
15	9959	3	1	100	1000
16	9959	3	1	100	1000
17	9959	3	1	100	1000
18	9959	3	1	100	1000
19	9959	2	1	185	100
20	9959	2	1	185	1000
21	9959	2	1	185	1000
22	9959	2	1	185	1000
23	9959	2	1	185	1000
24	9959	2	1	185	1000
25	9959	2	1	185	1000
26	9959	200	0	1	700
27	9959	200	1	1	700
28	9959	200	0	1	1250
29	9959	50	0	4	700
30	9959	50	1	4	1000
31	9959	50	1	1	500
32	9959	50	1	4	1000
33	9959	10	1	18	1000
34	9959	10	1	18	1000
35	9959	10	1	18	1000
36	9959	10	1	18	1000
37	9959	10	1	18	1000
38	9959	3	1	50	1000
39	9959	3	1	110	1000
40	9959	3	1	110	1000
41	9959	3	1	110	1000
42	9959	3	1	110	1000
43	9959	3	1	110	1000
44	9959	2	1	185	1000
45	9959	2	1	185	1000
46	9959	2	1	185	1000
47	9959	2	1	185	1000
48	9959	2	1	185	1000
49	9959	2	1	185	1000
50	9959	2	1	185	1000
51	9959	200	0	1	700
52	9959	200	1	1	700
53	9959	200	0	1	1250
54	9959	50	1	3	500
55	9959	50	1	3	850
56	9959	50	0	3	1000
57	9959	50	1	3	1000
58	9959	10	1	18	1000
59	9959	10	1	18	1000
60	9959	10	1	18	1000
61	9959	10	1	18	1000
62	9959	10	1	18	1000
63	9959	3	1	100	1000
64	9959	3	1	100	1000
65	9959	3	1	100	1000
66	9959	3	1	100	1000
67	9959	3	1	100	1000
68	9959	3	1	100	1000
69	9959	2	1	185	1000
70	9959	2	1	185	1000
71	9959	2	1	185	1000
72	9959	2	1	185	1000
73	9959	2	1	185	1000
74	9959	2	1	185	1000
75	9959	2	1	185	1000
76	9959	200	1	1	1000
77	9959	200	1	1	500
78	9959	200	0	1	1250
79	9959	50	0	4	700
80	9959	50	1	4	1000
81	9959	50	1	1	500
82	9959	50	1	4	1000
83	9959	10	1	20	1000
84	9959	10	1	20	1000
85	9959	10	1	10	1000
86	9959	10	1	20	1000
87	9959	10	1	20	1000
88	9959	3	1	100	1000
89	9959	3	1	100	1000
90	9959	3	1	100	1000
91	9959	3	1	100	1000
92	9959	3	1	100	1000
93	9959	3	1	100	1000
94	9959	2	1	185	1000
95	9959	2	1	185	1000
96	9959	2	1	185	1000
97	9959	2	1	185	1000
98	9959	2	1	185	1000
99	9959	2	1	185	1000
100	9959	2	1	185	1000
101	9959	200	1	1	1000
102	9959	200	1	1	500
103	9959	200	0	1	1250
104	9959	50	1	4	1000
105	9959	50	0	4	500
106	9959	50	1	1	500
107	9959	50	1	4	1000
108	9959	10	1	18	1000
109	9959	10	1	18	1000
110	9959	10	1	18	1000
111	9959	10	1	18	1000
112	9959	10	1	18	1000
113	9959	3	1	50	1000
114	9959	3	1	110	1000
115	9959	3	1	110	1000
116	9959	3	1	110	1000
117	9959	3	1	110	1000
118	9959	3	1	110	1000
119	9959	2	1	185	1000
120	9959	2	1	185	1000
121	9959	2	1	185	1000
122	9959	2	1	185	1000
123	9959	2	1	185	1000
124	9959	2	1	185	1000
125	9959	2	1	185	1000
10000	9	10000	1	0	0
10001	9	20000	1	0	0
10002	9	30000	1	0	0
126	9959	200	0	1	700
127	9959	200	1	1	700
128	9959	200	1	1	1250
129	9959	50	1	4	10
130	9959	50	1	4	1000
131	9959	50	1	1	500
132	9959	50	1	4	1000
133	9959	10	1	20	1000
134	9959	10	1	20	1000
135	9959	10	1	10	1000
136	9959	10	1	20	1000
137	9959	10	1	20	1000
138	9959	3	1	100	1000
139	9959	3	1	100	1000
140	9959	3	1	100	1000
141	9959	3	1	100	1000
142	9959	3	1	100	1000
143	9959	3	1	100	1000
144	9959	2	1	185	1000
145	9959	2	1	185	1000
146	9959	2	1	185	1000
147	9959	2	1	185	1000
148	9959	2	1	185	1000
149	9959	2	1	185	1000
150	9959	2	1	185	1000
151	9959	200	0	1	1200
152	9959	200	1	1	1000
153	9959	200	1	1	1000
154	9959	50	1	4	700
155	9959	50	1	4	1000
156	9959	50	1	1	500
157	9959	50	1	4	1000
158	9959	10	1	18	1000
159	9959	10	1	18	1000
160	9959	10	1	18	1000
161	9959	10	1	18	1000
162	9959	10	1	18	1000
163	9959	3	1	50	1000
164	9959	3	1	110	1000
165	9959	3	1	110	1000
166	9959	3	1	110	1000
167	9959	3	1	110	1000
168	9959	3	1	110	1000
169	9959	2	1	185	1000
170	9959	2	1	185	1000
171	9959	2	1	185	1000
172	9959	2	1	185	1000
173	9959	2	1	185	1000
174	9959	2	1	185	1000
175	9959	2	1	185	1000
176	9959	200	0	1	700
177	9959	200	1	1	700
178	9959	200	1	1	1000
179	9959	50	1	3	700
180	9959	50	1	3	800
181	9959	50	1	3	700
182	9959	50	1	3	1000
183	9959	10	1	18	1000
184	9959	10	1	18	1000
185	9959	10	1	18	1000
186	9959	10	1	18	1000
187	9959	10	1	18	1000
188	9959	3	1	100	1000
189	9959	3	1	100	1000
190	9959	3	1	100	1000
191	9959	3	1	100	1000
192	9959	3	1	100	1000
193	9959	3	1	100	1000
194	9959	2	1	185	1000
195	9959	2	1	185	1000
196	9959	2	1	185	1000
197	9959	2	1	185	1000
198	9959	2	1	185	1000
199	9959	2	1	185	1000
200	9959	2	1	185	1000
201	9959	200	1	1	1000
202	9959	200	1	1	700
203	9959	200	0	1	1250
204	9959	50	1	4	1000
205	9959	50	1	4	700
206	9959	50	1	1	500
207	9959	50	1	4	700
208	9959	10	1	20	1000
209	9959	10	1	20	1000
210	9959	10	1	10	1000
211	9959	10	1	20	1000
212	9959	10	1	20	1000
213	9959	3	1	100	1000
214	9959	3	1	100	1000
215	9959	3	1	100	1000
216	9959	3	1	100	1000
217	9959	3	1	100	1000
218	9959	3	1	100	1000
219	9959	2	1	185	1000
220	9959	2	1	185	1000
221	9959	2	1	185	1000
222	9959	2	1	185	1000
223	9959	2	1	185	1000
224	9959	2	1	185	1000
225	9959	2	1	185	1000
226	9959	200	1	1	800
227	9959	200	1	1	800
228	9959	200	0	1	1250
229	9959	50	1	4	800
230	9959	50	1	4	1000
231	9959	50	1	1	500
232	9959	50	1	4	800
233	9959	10	1	18	1000
234	9959	10	1	18	1000
235	9959	10	1	18	1000
236	9959	10	1	18	1000
237	9959	10	1	18	1000
238	9959	3	1	50	1000
239	9959	3	1	110	1000
240	9959	3	1	110	1000
241	9959	3	1	110	1000
242	9959	3	1	110	1000
243	9959	3	1	110	1000
244	9959	2	1	185	1000
245	9959	2	1	185	1000
246	9959	2	1	185	1000
247	9959	2	1	185	1000
248	9959	2	1	185	1000
249	9959	2	1	185	1000
250	9959	2	1	185	1000
1000	66073	1	1	1	88
1001	65387	24	1	3	88
1002	65387	24	1	3	88
1003	65387	24	1	3	88
1004	612	1	1	10	100
1005	612	1	1	10	100
1006	612	1	1	10	100
1007	612	1	1	10	100
1008	612	1	1	10	100
1009	612	1	1	10	100
1010	66074	1	1	1	50
1011	8549	300	1	1	50
1012	65387	32	1	6	50
1013	65387	32	1	6	80
1014	3136	8	1	6	50
1015	65387	32	1	6	30
1016	612	1	1	16	50
1017	612	1	1	16	80
1018	612	1	1	16	80
1019	612	1	1	16	100
1020	612	1	1	16	100
1021	612	1	1	16	100
1022	612	1	1	16	100
1023	66075	1	1	1	30
1024	65388	250	1	1	15
1025	193661	75	1	1	35
1026	65387	40	1	8	50
1027	65387	40	1	8	35
1028	65387	40	1	8	30
1029	1421	20	1	8	30
1030	65387	40	1	8	20
1031	612	1	1	22	50
1032	612	1	1	22	80
1033	612	1	1	22	80
1034	612	1	1	22	80
1035	612	1	1	22	100
1036	612	1	1	22	100
1037	612	1	1	22	100
1038	612	1	1	22	100
1039	66076	1	1	1	60
1040	6701	100	1	1	60
1041	193662	50	1	1	60
1042	840	50	1	1	60
1043	65387	48	1	10	50
1044	65387	48	1	10	80
1045	65387	48	1	10	100
1046	65387	48	1	10	50
1047	65387	48	1	10	100
1048	65387	48	1	10	100
1049	612	1	1	25	50
1050	612	1	1	25	80
1051	612	1	1	25	80
1052	612	1	1	25	80
1053	612	1	1	25	80
1054	612	1	1	25	100
1055	612	1	1	25	100
1056	612	1	1	25	100
1057	612	1	1	25	100
1058	66077	1	1	1	60
1059	1421	300	1	1	40
1060	1277	50	1	1	50
