unityscene	name	position	rotation	scale
unityscene	name	position	rotation	scale
DN_maincity_sstt	Cj_zc_05	-49.31074|3.164164|-41.01064	0.1676526|7.019788|356.936	1|1|1
DN_maincity_sstt	sstt_pq_01	2.35|0.49|-53.09	0|353.2413|0	1|1|1
DN_maincity_sstt	Cj_zc_sy	-14.09|5.37|-38.3	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd_01	-8.692|0.504|-40.504	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd	-9.15|0.842|-39.259	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd_01	-13.967|0.598|-36.275	0|304.4729|0	1|1|1
DN_maincity_sstt	Cj_zc_hd	-24.262|0.81|-12.59	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd_01	19.016|0.676|-42.204	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd	17.606|0.72|-63.082	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd_01	18.049|0.5|-63.898	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd_01	-13.41|0.465|-53.67	0|0|0	1|1|1
DN_maincity_sstt	Cj_zc_hd	-13.85|0.685|-52.86	0|0|0	1|1|1
DN_maincity_sstt	chaoxue_m_01	-52.01|0.38|-59.64	0|166.2116|0	0.7812719|0.781272|0.7812721
DN_maincity_sstt	Cj_zc_06	2.410004|0|-22.3	0|265.9437|0	1|1|1
DN_maincity_sstt	Cj_zc_06	4.51|0|-19.41	0|146.3428|0	1|1|1
DN_maincity_sstt	Cj_zc_06	0.93|0.25|-18.93	0|19.6256|0	1|1|1
DN_maincity_sstt	S_fire_01	24.06754|0.4391174|-40.02903	270|0|0	1|1|1
DN_maincity_sstt	S_fire_01	23.47784|0.6673813|-39.58638	270|0|0	1|1|1
DN_maincity_sstt	S_fire_02	-47.99414|1.798546|-67.86892	270|0|0	1|1|1
DN_maincity_sstt	S_fire_02	-40.43164|1.798546|-72.30473	270|0|0	1|1|1
DN_maincity_sstt	sstt_pq_00	2.28|0.21|-53.6	270|0|0	1|1|1
3v3_zhandou	S_fire_01	81.11|0.14|85.88	270|0|0	1|1|1
3v3_zhandou	S_fire_03	78.598|1.069|74.655	270|0|0	1|1|1
3v3_zhandou	S_fire_03	74.415|1.069|78.791	270|0|0	1|1|1
3v3_zhandou	S_fire_blue 1	34.646|1.01|40.99	270|0|0	1|1|1
3v3_zhandou	S_fire_blue 1	40.914|1.01|34.937	270|0|0	1|1|1
3v3_zhandou	S_fire_blue 1	16.864|1.01|34.94	270|0|0	1|1|1
3v3_zhandou	S_fire_blue 1	22.796|1.01|41.009	270|0|0	1|1|1
3v3_zhandou	S_fire_03	22.948|0.945|16.763	270|0|0	1|1|1
3v3_zhandou	S_fire_03	16.764|0.94|22.807	270|0|0	1|1|1
3v3_zhandou	S_fire_03	40.884|0.94|22.747	270|0|0	1|1|1
3v3_zhandou	S_fire_03	35.081|0.94|16.749	270|0|0	1|1|1
3v3_zhandou	S_fire_01	85.83|0.187|76.4	270|0|0	1|1|1
3v3_zhandou	S_fire_01	96.016|0.19|18.027	270|317.7934|0	1|1|1
3v3_zhandou	S_fire_01	87.59|0.065|16.71	270|317.7934|0	1|1|1
3v3_zhandou	S_fire_03	82.873|1.1|20.998	270|0|0	1|1|1
3v3_zhandou	S_fire_03	82.914|1.1|15.115	270|0|0	1|1|1
DN_Kaidela	S_fire_01	37.55|10.38|58.51	270|0|0	1|1|1
DN_Kaidela	CJ_xsg_fire_01	64.73|9.97|54.97	0|0|0	1|1|1
DN_Kaidela	CJ_xsg_fire_01	56.3|18.52|30.71	0|0|0	1|1|1
DN_Kaidela	CJ_xsg_fire_03	40.63|9.97|34.84	0|0|0	1|1|1
DN_Kaidela	CJ_xsg_fire_05	51.4|11.81|41.43	0|0|0	1|1|1
DN_Kaidela	CJ_xsg_fire_04	59.21|17.97|31.09	0|0|0	1|1|1
DN_Kaidela	CJ_xsg_fire_02	39.43|9.99|45.29	0|0|0	1|1|1
DN_Lv1_1_0	Cj_zc_hd	129.49|5.89|84.04	0|0|0	1|1|1
DN_Lv1_1_0	Cj_zc_hd_01	129.15|5.59|83.58	0|0|0	1|1|1
DN_Lv1_1_0	Cj_zc_hd	107.824|6.518|74.101	0|0|0	1|1|1
DN_Lv1_1_0	Cj_zc_hd_01	114.421|6.858|83.877	0|0|0	1|1|1
DN_Lv1_1_0	zdcj_1-1glow	113.53|12.93|86	-4.268868E-05|144.7558|48.16729	10.16689|5.919292|10.16688
DN_Lv1_1_0	zdcj_1-1sizhouweirao	144.376|5.759|76.085	0|0|0	1|1|1
DN_Lv1_1_0	zdcj_1-1sizhouweirao	114.5|7.33|84.26	0|0|0	1|1|1
DN_Lv1_1_0	zdcj_1-1sizhouweirao	109.88|7|73.49	0|0|0	1|1|1
DN_Lv1_1_0	zdcj_1-1sizhouweirao	130.71|6.17|73.32	0|225.6403|0	1|1|1
DN_Lv1_1_1	S_fire_01	18.581|5.587|135.848	270|274.6922|0	1|1|1
DN_Lv1_1_1	S_fire_01	33.354|5.566|132.046	270|274.6922|0	1|1|1
DN_Lv1_1_1	S_fire_01	22.451|8.612|83.574	270|274.6922|0	1|1|1
DN_Lv1_1_1	S_fire_01	5.105|5.8|63.804	270|274.6922|0	1|1|1
DN_Lv1_1_1	zdcj_1-1glow	-12.2|10.85|4.33	358.5629|59.49998|46.84092	14.11921|9.480221|11.84386
DN_Lv1_1_1	zdcj_1-1glow	41.9|13.89|134.1	346.9967|197.5021|62.85675	15.11487|16.12177|20.1413
DN_Lv1_1_1	zdcj_1-1glow	-5.74|12.52|28.06	31.9278|339.4038|45.56952	19.19639|15.08076|18.84075
DN_Lv1_1_1	S_fire_03	125.4421|9.950069|27.90825	270|0|0	1|1|1
DN_Lv1_1_1	S_fire_03	99.57212|11.60007|46.06824	270|0|0	1|1|1
DN_Lv1_1_1	S_fire_03	101.4621|11.67007|45.95824	270|0|0	1|1|1
DN_Lv1_1_1	S_fire_03	103.5921|7.370071|8.658249	270|38.17961|0	1|1|1
DN_Lv1_1_1	S_fire_03	123.7421|9.950069|31.28825	270|0|0	1|1|1
DN_Lv1_1_1	S_fire_03	74.33212|9.910072|28.32825	270|237.1645|0	1|1|1
DN_Lv1_1_1	S_fire_03	76.27212|9.910072|31.59825	270|237.1645|0	1|1|1
DN_Lv1_1_2	S_fire_01	-7.513|-6.489|4.738	270|0|0	1|1|1
DN_Lv1_1_2	S_fire_01	36.34|-1|52.45	270|0|0	1|1|1
